Platform,Type,Owned,ForSale,Wishlist,Title,Publisher,Developer,DateAdded,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Beat,PlayedCompletion,Notes
"PS Vita","VideoGame",1,0,0,"Aegis of Earth: Protonovus Assault","Aksys Games","ACQUIRE","12/13/2022","Sealed","65,82","85,91","111,02","111,02","149",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Akiba's Trip: Undead & Undressed","XSEED Games","ACQUIRE","11/28/2021","Sealed","166,32","211,47","274,91","274,91","165",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Batman: Arkham Origins Blackgate","Warner Bros. Interactive Entertainment","Armature Studio","06/20/2022","Sealed","100,66","131,9","169,17","169,17","115",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Conception II: Children of the Seven Stars","Atlus Co., Ltd.","Spike Chunsoft Co., Ltd.","10/14/2022","Sealed","128,1","163,89","211,47","211,47","160",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Deception IV: Blood Ties","Koei Tecmo","Koei Tecmo","02/25/2022","Sealed","105,73","146,6","190,32","190,32","109,9",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Digimon World: Next Order","Bandai Namco Entertainment","B.B. Studio","11/16/2021","CIB","77,08","81,94","105,73","81,94","174",10,10,10,Yes,100%,""
"PS Vita","VideoGame",1,0,0,"Disgaea 3: Absence of Detention","Nippon Ichi Software Inc.","NIS","08/22/2022","Sealed","137,35","152,68","200,89","200,89","135",10,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Dragon's Crown","Atlus Co., Ltd.","Vanillaware","02/22/2022","CIB","94,26","145,97","190,32","145,97","130",9,9,9,Yes,34%,""
"PS Vita","VideoGame",1,0,0,"Dungeon Hunter: Alliance","null","null","11/16/2021","CIB","71,53","77,93","100,45","77,93","80",8,8,8,Yes,34%,""
"PS Vita","VideoGame",1,0,0,"Dynasty Warriors: Next","Koei Tecmo","Omega Force","01/26/2022","Sealed","101,24","103,99","137,45","137,45","117",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Exist Archive: The Other Side of The Sky","Aksys Games","Spike Chunsoft Co., Ltd.","02/22/2022","Sealed","95,11","107,64","137,45","137,45","140",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Final Fantasy X / X-2 HD Remaster","Square Enix","Square Enix","01/12/2022","CIB","81,94","117,79","153,31","117,79","102",10,10,10,No, 0%,""
