Platform,Type,Owned,ForSale,Wishlist,Title,Publisher,Developer,DateAdded,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Beat,PlayedCompletion,Notes
"3DS","VideoGame",1,0,0,"7th Dragon III Code: VFD Launch Edition","null","null","11/16/2021","Sealed","370,82","395,49","420,22","420,22","170",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Animal Crossing: New Leaf","Nintendo","Nintendo EAD","11/16/2021","CIB","81,33","95,23","146,75","95,23","-1.0",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Azure Striker Gunvolt: Striker Pack","Yacht Club Games","Inti Creates","03/31/2023","CIB","168,11","221,16","271,69","221,16","138",9,9,9,No, 0%,""
"3DS","VideoGame",1,0,0,"Bravely Default","Nintendo","Silicon Studio","11/16/2021","CIB","119,9","160,69","299,13","160,69","-1.0",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Bravely Second: End Layer","Nintendo","Silicon Studio","11/16/2021","Sealed","169,59","172,36","226,5","226,5","55",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Castlevania: Lords of Shadow - Mirror of Fate","Konami","Mercury Steam Entertainment S.L.","10/17/2022","Sealed","159,65","173,89","197,72","197,72","175",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Code Name: S.T.E.A.M.","Nintendo","Intelligent Systems Co., Ltd.","09/23/2022","Sealed","26,06","34,56","39,26","39,26","50",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Donkey Kong Country Returns 3D","Nintendo","Monster Games, Inc.","11/16/2021","CIB","66,3","93,6","161,78","93,6","-1.0",8,8,8,Yes,100%,""
"3DS","VideoGame",1,0,0,"Dragon Ball: Fusions","Bandai Namco Entertainment","Ganbarion","11/16/2021","CIB","243,7","299,13","463,18","299,13","-1.0",10,10,10,Yes,67%,""
"3DS","VideoGame",1,0,0,"Dragon Quest VIII: Journey of the Cursed King","Nintendo","Cygames","11/16/2021","Sealed","420,12","464,76","538,04","538,04","90",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Ever Oasis","Nintendo","Grezzo","05/15/2022","Sealed","238,56","244,74","326,32","326,32","260,3",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Fantasy Life","Nintendo","Level-5","11/16/2021","CIB","230,21","271,89","370,82","271,89","-1.0",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Fire Emblem Echoes: Shadows of Valentia","Nintendo","Intelligent Systems Co., Ltd.","03/11/2023","Sealed","160,49","170,03","222,49","222,49","233,62",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Fire Emblem Fates: Birthright","Nintendo","Intelligent Systems Co., Ltd.","02/28/2023","Sealed","152,28","183,88","229,91","229,91","285",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Fire Emblem Fates: Conquest","Nintendo","Intelligent Systems Co., Ltd.","03/14/2023","Sealed","148,18","185,51","201,38","201,38","283",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Fire Emblem: Awakening","Nintendo","Intelligent Systems Co., Ltd.","11/16/2021","Sealed","153,22","197,77","371,51","371,51","132",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Fossil Fighters: Frontier","Spike Chunsoft","Red Entertainment Corporation","12/30/2021","Sealed","152,73","186,6","296,66","296,66","89",?,?,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Harvest Moon 3D: The Tale of Two Towns","Natsume","Marvelous Interactive","11/16/2021","Sealed","70,6","97,35","134,98","134,98","95",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Hometown Story","Natsume","Natsume","11/16/2021","CIB","40,25","45,54","75,75","45,54","-1.0",10,10,10,Yes,89%,""
"3DS","VideoGame",1,0,0,"Kid Icarus: Uprising","Nintendo","Project Sora","11/16/2021","Sealed","247,21","322,86","577,05","577,05","200",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Kingdom Hearts 3D: Dream Drop Distance","Square Enix","Square Enix","11/16/2021","Sealed","93,69","132,31","346,05","346,05","180",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Kirby: Planet Robobot","Nintendo","HAL Laboratory","05/13/2023","Sealed","191,15","233,91","313,96","313,96","260",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Kirby: Triple Deluxe","Nintendo","HAL Laboratory","09/30/2022","Sealed","98,89","101,46","133,5","133,5","143",?,10,?,No, 0%,""
