Platform,Type,Owned,ForSale,Wishlist,Title,Publisher,Developer,DateAdded,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Beat,PlayedCompletion,Notes
"3DS","VideoGame",1,0,0,"LBX: Little Battlers eXperience","Nintendo","Level-5","10/07/2022","Sealed","88,06","96,02","106,45","106,45","158",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Luigi's Mansion","Nintendo","Grezzo","02/06/2023","Sealed","197,57","225,66","271,94","271,94","195",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Luigi's Mansion: Dark Moon","Nintendo","Next Level Games","11/16/2021","CIB","75,65","106,45","144,13","106,45","100",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey","Nintendo","Alphadream Corporation","05/13/2023","Sealed","197,52","365,88","548,82","548,82","260",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Mario & Luigi: Dream Team","Nintendo","AlphaDream","03/25/2022","Sealed","93,15","123,61","178,93","178,93","150",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Mario & Luigi: Paper Jam","Nintendo","Alphadream Corporation","02/18/2022","Sealed","172,95","178,64","345,85","345,85","190",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Mario & Luigi: Superstar Saga + Bowser's Minions","Nintendo","AlphaDream","05/13/2023","Sealed","197,52","217,55","301,85","301,85","260",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Metal Gear Solid Snake Eater 3D","Konami","Kojima Productions (Konami)","03/31/2023","CIB","398,66","556,23","835,59","556,23","138",9,9,9,No, 0%,""
"3DS","VideoGame",1,0,0,"Metroid Prime: Federation Force","Nintendo","Next Level Games","11/16/2021","Sealed","304,52","383,97","410,13","410,13","45",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Metroid: Samus Returns","Nintendo","Mercury Steam Entertainment S.L.","06/17/2022","CIB","160,94","168,85","197,77","168,85","241",10,10,10,Yes,51%,""
"3DS","VideoGame",1,0,0,"Persona Q2: New Cinema Labyrinth","Sega","Atlus Co., Ltd.","09/03/2022","Sealed","278,51","296,66","329,34","329,34","241",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Persona Q: Shadow of the Labyrinth","Atlus U.S.A., Inc.","Atlus Co., Ltd.","07/14/2022","Sealed","164,65","176,71","220,42","220,42","200,25",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Pokémon Alpha Sapphire","Nintendo","Game Freak","11/16/2021","CIB","145,12","197,33","415,32","197,33","132",8,8,8,Yes,100%,""
"3DS","VideoGame",1,0,0,"Pokémon Mystery Dungeon: Gates to Infinity","Nintendo","Nintendo","11/16/2021","CIB","132,8","175,52","346,25","175,52","110",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Pokémon Ultra Moon","Nintendo","Game Freak","11/16/2021","Sealed","163,16","173,05","246,47","246,47","140",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Pokémon Y","Nintendo","Game Freak","11/16/2021","CIB","136,12","166,33","305,21","166,33","130",10,10,10,Yes,100%,""
"3DS","VideoGame",1,0,0,"Project X Zone","Bandai Namco Entertainment","Bandai Namco Entertainment","11/16/2021","Sealed","280,24","312,68","469,56","469,56","108",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Radiant Historia: Perfect Chronology","Atlus Co., Ltd.","Deep Silver","03/14/2023","Sealed","365,14","416,26","437,57","437,57","395",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Shin Megami Tensei IV","Atlus Co., Ltd.","Atlus Co., Ltd.","01/02/2023","Sealed","187,88","194,85","319,4","319,4","217",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Stella Glow","Atlus U.S.A., Inc.","Imageepoch","09/17/2022","Sealed","216,61","309,02","383,18","383,18","240",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Story of Seasons","Marvelous","Marvelous","11/16/2021","Sealed","128,3","134,73","197,72","197,72","113",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Super Mario 3D Land [Nintendo Selects]","Nintendo","Nintendo","11/16/2021","CIB","68,43","89,05","98,74","89,05","114",10,10,10,Yes,100%,""
"3DS","VideoGame",1,0,0,"Super Mario Maker for Nintendo 3DS [Nintendo Selects]","Nintendo","Nintendo","11/16/2021","Sealed","54,19","61,8","73,42","73,42","-1.0",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Super Smash Bros. for Nintendo 3DS","Nintendo","Bandai Namco Entertainment","11/16/2021","CIB","50,23","69,42","158,27","69,42","132",8,8,8,No,50%,""
"3DS","VideoGame",1,0,0,"Tales of the Abyss","Bandai Namco Entertainment","Bandai Namco Entertainment","01/19/2022","CIB","191,89","203,66","296,61","203,66","190",9,9,9,No, 0%,""
"3DS","VideoGame",1,0,0,"Tenkai Knights: Brave Battle","Bandai Namco Entertainment","Bandai Namco Entertainment","11/16/2021","Sealed","17,01","42,92","49,39","49,39","-1.0",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"The Legend of Legacy Launch Edition","null","null","03/24/2023","CIB","171,81","192,78","296,61","192,78","114",9,9,9,No, 0%,""
"3DS","VideoGame",1,0,0,"The Legend of Zelda: A Link Between Worlds","Nintendo","Nintendo EAD","02/26/2023","CIB","99,28","135,87","167,27","135,87","-1.0",8,6,8,No, 0%,""
"3DS","VideoGame",1,0,0,"The Legend of Zelda: Majora's Mask 3D","Nintendo","Grezzo","11/16/2021","Sealed","114,21","146,15","160,49","160,49","225",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"The Legend of Zelda: Ocarina of Time 3D","Nintendo","Grezzo","03/30/2022","Sealed","93,35","150,01","173","173","205",?,10,?,Yes,81%,""
"3DS","VideoGame",1,0,0,"The Legend of Zelda: Tri Force Heroes","Nintendo","Nintendo","10/20/2022","Sealed","80,34","123,61","159,6","159,6","150",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Yoshi's New Island","Nintendo","Arzest","03/31/2023","CIB","76,34","88,45","148,28","88,45","138",9,9,9,No, 0%,""
"NDS","VideoGame",1,0,0,"007 Goldeneye","Activision","n-Space, Inc","05/04/2022","Sealed","69,17","95,28","212,6","212,6","104",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Advance Wars: Dual Strike","Nintendo","Intelligent Systems Co., Ltd.","11/16/2021","Loose","173,05","266,74","673,71","173,05","103",10,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Call of Duty: Modern Warfare - Mobilized","Activision","n-Space, Inc","01/19/2023","Sealed","41,53","49,79","118,51","118,51","62",?,9,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Call of Duty: Modern Warfare 3 - Defiance","Activision","n-Space, Inc","01/19/2023","Sealed","54,63","54,73","127,32","127,32","62",?,9,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Dawn of Discovery","Ubisoft Entertainment","Related Designs","11/16/2021","Sealed","37,33","62,2","97,25","97,25","67",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Digimon World Championship","Bandai Co., Ltd.","Bandai Co., Ltd.","11/16/2021","Loose","137,5","159,75","301,6","137,5","40",8,?,?,Yes,69%,""
"NDS","VideoGame",1,0,0,"Digimon World DS","Bandai Namco Entertainment","Bandai Namco Entertainment","11/16/2021","Loose","296,61","472,13","894,92","296,61","40",10,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Digimon World: Dawn","Bandai Namco Entertainment","Bandai Namco Entertainment","11/16/2021","Loose","224,97","469,46","889,97","224,97","40",10,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Digimon World: Dusk","Bandai Namco Entertainment","Bandai Namco Entertainment","11/16/2021","Loose","130,93","382,39","726,81","130,93","40",10,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Dragon Ball Z: Attack of the Saiyans","Bandai Namco of America","Monolith Software, Inc.","07/28/2022","CIB","139,97","528,45","1.003,69","528,45","300",8,8,8,No, 0%,""
"NDS","VideoGame",1,0,0,"Dragon Ball: Origins","Atari SA","Game Republic","07/28/2022","Boxed","115,4","254,58","368,05","172,75","200",8,8,?,Yes,60%,""
"NDS","VideoGame",1,0,0,"Final Fantasy XII: Revenant Wings","Square Enix","Square Enix","02/06/2023","Sealed","93,69","120,54","229,81","229,81","155",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Glory of Heracles","Nintendo","Paon Corporation","07/28/2022","Boxed","54,39","102,35","134,14","79,65","100",8,8,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Golden Sun: Dark Dawn","Nintendo","Camelot Software Planning","07/28/2022","Boxed","106,45","150,46","252,01","168,65","200",8,8,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Heroes of Mana","Squaresoft","Brownie Brown","09/17/2022","Sealed","74,12","103,78","117,38","117,38","120",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Kingdom Hearts 358/2 Days","Squaresoft","Hand","11/16/2021","Loose","147,69","148,33","383,18","147,69","112",8,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Kingdom Hearts Re:Coded","Square Enix","Square Enix","11/16/2021","Loose","90,33","129,79","236,73","90,33","56",8,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Lufia: Curse of the Sinistrals","Natsume","Neverland","07/28/2022","CIB","246,57","321,38","519,15","321,38","350",8,8,8,No, 0%,""
"NDS","VideoGame",1,0,0,"Metroid Prime: Hunters","Nintendo","Nintendo Software Technology","11/16/2021","CIB","81,88","242,27","1.171,21","242,27","-1.0",8,8,8,No, 0%,""
"NDS","VideoGame",1,0,0,"Monster Rancher DS","UFO Interactive Games, Inc.","CING, Inc.","11/16/2021","CIB","173,05","318,56","603,2","318,56","113",8,8,8,Yes,75%,""
"NDS","VideoGame",1,0,0,"Ninjatown","SouthPeak Interactive, LLC","Venan Entertainment","04/22/2022","Sealed","50,68","91,57","137,2","137,2","105",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Pokémon Platinum Version","Nintendo","Game Freak","11/16/2021","Boxed","358,46","637,22","1.056,84","506,79","-1.0",8,8,?,Yes,67%,""
"NDS","VideoGame",1,0,0,"Pokémon White Version 2","Nintendo","Game Freak","11/16/2021","CIB","697,1","793,86","1.319,68","793,86","130",10,10,10,Yes,75%,""
"NDS","VideoGame",1,0,0,"Rabbids Go Home","Ubisoft Entertainment","Ubisoft Montpellier","07/09/2022","Sealed","22,1","33,23","88,7","88,7","49",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Super Mario 64 DS","Nintendo","Nintendo","11/16/2021","Loose","80,34","129,74","203,31","80,34","46",8,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"The Chronicles of Narnia: Prince Caspian","Disney Interactive","Fall Line Studios","01/26/2022","Sealed","22,89","31,5","56,22","56,22","50",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"The Legend of Zelda: Phantom Hourglass","Nintendo","Nintendo EAD","11/16/2021","CIB","165,63","240,89","515,2","240,89","160",4,10,10,Yes,68%,""
"NDS","VideoGame",1,0,0,"The Legend of Zelda: Spirit Tracks","Nintendo","Nintendo","11/16/2021","Loose","370,77","473,81","703,03","370,77","150",8,?,?,Yes,68%,""
"NDS","VideoGame",1,0,0,"Tom Clancy's EndWar","Ubisoft Entertainment","Ubisoft Shanghai","04/25/2022","CIB","23,39","28,18","60,12","28,18","35,48",8,8,9,No, 0%,""
"NDS","VideoGame",1,0,0,"Trauma Center: Under the Knife","Atlus Co., Ltd.","Atlus Co., Ltd.","10/17/2022","Sealed","86,38","100,07","173","173","155",?,10,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Valkyrie Profile: Covenant of the Plume","Square Enix","tri-Ace","11/16/2021","Sealed","105,66","148,92","177,2","177,2","184",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Class of Heroes","Atlus Co., Ltd.","Zerodiv","02/27/2023","Sealed","74,91","108,68","164,89","164,89","300",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Crisis Core: Final Fantasy VII","Square Enix","Square Enix","11/16/2021","Sealed","67,74","90,88","465,16","465,16","102",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Digimon Adventure","Bandai Namco Entertainment","Prope","11/16/2021","CIB","-1.0", "-1.0", "-1.0", "-1.0","193",10,10,10,Yes,75%,""
"PSP","VideoGame",1,0,0,"Digimon World Re:Digitize","Bandai Namco Entertainment","Tri-crescendo","11/16/2021","Sealed","57,75","74,21","148,33","148,33","106",?,10,?,Yes,64%,""
"PSP","VideoGame",1,0,0,"Disgaea 2: Dark Hero Days","Nippon Ichi Software Inc.","NIS","03/22/2023","CIB","116,34","162,32","259,48","162,32","176,25",9,9,9,No, 0%,""
"PSP","VideoGame",1,0,0,"Dissidia 012: Duodecim Final Fantasy","Square Enix","Square Enix","11/16/2021","Sealed","75,01","101,31","173,25","173,25","95",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Dragon Ball Z: Shin Budokai","Bandai Co., Ltd.","Dimps Corporation","01/12/2022","Sealed","-1.0", "-1.0", "-1.0", "-1.0","63",8,8,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Dungeon Siege: Throne of Agony","Take-Two Interactive Software, Inc.","SuperVillain Studios","01/12/2022","CIB","27,89","34,17","86,28","34,17","28",10,10,10,No, 0%,""
"PSP","VideoGame",1,0,0,"Field Commander","Sony Online Entertainment","Sony Online Entertainment","09/19/2022","Sealed","34,26","35,2","95,33","95,33","90",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy","Square Enix","Tose Co., Ltd.","02/02/2022","Sealed","66,75","83,81","224,72","224,72","175",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy II","Square Enix","Tose Co., Ltd.","08/16/2022","Sealed","79,45","104,82","170,53","170,53","230",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy IV: The Complete Collection","Square Enix","Square Enix","11/16/2021","Sealed","148,28","212,8","239,8","239,8","80",?,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy Tactics: The War of the Lions [Greatest Hits]","null","Square Enix","11/16/2021","Sealed","74,12","91,42","194,61","194,61","60",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Ghostbusters: The Video Game","Sony Computer Entertainment","Red Fly Studio","11/16/2021","Sealed","60,32","64,28","142,1","142,1","20",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"God of War: Chains of Olympus","Sony Computer Entertainment","Ready at Dawn","11/16/2021","Loose","98,34","122,96","280,74","98,34","21",8,?,?,Yes,67%,""
"PSP","VideoGame",1,0,0,"God of War: Ghost of Sparta","Sony Computer Entertainment","Ready at Dawn","11/16/2021","Loose","130,08","224,08","465,6","130,08","21",8,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Grand Theft Auto: Liberty City Stories","Rockstar Games","Rockstar Leeds","07/27/2022","Boxed","81,58","120,89","345,85","110,31","62",9,8,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Grand Theft Auto: Vice City Stories","Rockstar Games","Rockstar Leeds","07/27/2022","CIB","116,44","173","381,9","173","62",9,8,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Gundam Battle Royale","Bandai Co., Ltd.","BEC Co., Ltd.","11/16/2021","CIB","54,54","64,23","96,41","64,23","30",8,6,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Half-Minute Hero","XSEED Games","Opus Studio","09/19/2022","Sealed","78,71","102,35","122,87","122,87","120",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Kingdom Hearts: Birth by Sleep","Square Enix","Square Enix","01/28/2022","CIB","64,23","74,16","171,07","74,16","100",8,8,10,No, 0%,""
"PSP","VideoGame",1,0,0,"Kingdom of Paradise","Sony","Climax Entertainment","12/30/2022","Sealed","29,72","49,39","76,74","76,74","78",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Manhunt 2","Rockstar Games","Rockstar London","01/26/2022","Sealed","154,66","196,54","467,24","467,24","129",?,9,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Metal Gear Solid: Peace Walker","Konami","Kojima Productions (Konami)","11/16/2021","Sealed","99,92","185,56","273,52","273,52","49",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Midnight Club: LA Remix","Rockstar Games","Rockstar London","02/15/2023","Sealed","87,96","121,53","230,85","230,85","160",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Phantasy Star Portable","Sega","Alfa System","05/25/2022","Boxed","68,43","119,26","168,95","102,99","130",9,8,?,Yes,61%,""
"PSP","VideoGame",1,0,0,"PixelJunk Monsters Deluxe","Sony","Q-Games","01/12/2022","Sealed","19,04","31,74","47,12","47,12","48",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Resistance: Retribution","Sony","Sony","07/14/2022","CIB","54,83","60,02","148,18","60,02","-1.0",9,9,9,Yes,75%,""
"PSP","VideoGame",1,0,0,"Riviera: The Promised Land","Atlus Co., Ltd.","Sting Entertainment","02/27/2023","Sealed","148,08","173,45","296,61","296,61","300",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Sid Meier's Pirates!","2K Games","Full Fat Games","12/07/2021","Sealed","43,81","48,31","108,53","108,53","42",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Star Ocean: First Departure","Square Enix","tri-Ace","01/28/2022","CIB","76,09","111,84","254,04","111,84","220",6,10,10,Yes,81%,""
"PSP","VideoGame",1,0,0,"Star Ocean: Second Evolution","Square Enix","tri-Ace","01/28/2022","CIB","172,75","242,27","377,74","242,27","220",8,8,10,Yes,75%,""
"PSP","VideoGame",1,0,0,"Super Robot Wars MX Portable","Banpresto Co., Ltd.","Banpresto Co., Ltd.","11/16/2021","CIB","-1.0", "-1.0", "-1.0", "-1.0","30",8,6,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Syphon Filter: Dark Mirror [Greatest Hits]","Sony","Sony Bend","11/16/2021","Sealed","19,73","19,93","49,34","49,34","39",?,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Syphon Filter: Logan's Shadow","Sony Computer Entertainment America","Sony Bend","11/16/2021","Sealed","27","34,81","40,79","40,79","20",?,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Tactics Ogre: Let Us Cling Together","Square Enix","Square Enix","11/16/2021","Sealed","97,65","122,37","225,16","225,16","76",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Tales of the World: Radiant Mythology","Bandai Namco Entertainment","Namco Tales Studio","07/26/2022","CIB","98,84","154,01","254,78","154,01","150",9,9,9,No, 0%,""
"PSP","VideoGame",1,0,0,"The Warriors","Rockstar Games","Rockstar Toronto","11/16/2021","Sealed","166,72","247,26","447,46","447,46","159",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Twisted Metal: Head-On","Sony Computer Entertainment","Incognito Entertainment","11/16/2021","Sealed","49,34","63,73","114,76","114,76","39",?,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Valkyria Chronicles II","Sega","Sega","07/20/2022","CIB","148,08","185,02","296,66","185,02","177",9,9,9,No, 0%,""
"PSP","VideoGame",1,0,0,"Valkyrie Profile: Lenneth","Square Enix","Tose Co., Ltd.","01/28/2022","CIB","113,67","176,46","568,4","176,46","220",8,8,10,No, 0%,""
"PSP","VideoGame",1,0,0,"Warhammer 40,000: Squad Command","THQ","Redlynx Ltd","01/12/2022","CIB","42,03","45,09","93,25","45,09","46",8,8,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Wipeout Pure","Sony","Sony","01/12/2022","CIB","27,09","34,36","51,82","34,36","36",10,10,10,No,34%,""
"PSP","VideoGame",1,0,0,"Yggdra Union: We'll Never Fight Alone","Atlus Co., Ltd.","Sting Entertainment","04/14/2022","Loose","116,29","198,32","344,47","116,29","49",6,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Z.H.P. Unlosing Ranger vs Darkdeath Evilman","NIS America, Inc.","NIS","01/12/2023","CIB","230,7","283,26","448,1","283,26","166",9,9,9,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Aegis of Earth: Protonovus Assault","Aksys Games","ACQUIRE","12/13/2022","Sealed","87,51","93,25","149,12","149,12","149",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Akiba's Trip: Undead & Undressed","XSEED Games","ACQUIRE","11/28/2021","CIB","151,34","177,75","247,71","177,75","165",10,10,10,Yes,40%,""
"PS Vita","VideoGame",1,0,0,"Army Corps of Hell","Square Enix","Entersphere","01/15/2023","Sealed","74,16","90,13","117,23","117,23","110",?,9,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Assassin's Creed III: Liberation","Ubisoft Entertainment","Ubisoft Sofia","04/25/2023","Boxed","74,12","94,78","175,18","123,51","50",9,9,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Batman: Arkham Origins Blackgate","Warner Bros. Interactive Entertainment","Armature Studio","06/20/2022","Sealed","100,22","111,59","129,79","129,79","115",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Conception II: Children of the Seven Stars","Atlus Co., Ltd.","Spike Chunsoft Co., Ltd.","10/14/2022","Sealed","117,03","152,28","247,07","247,07","160",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Deception IV: Blood Ties","Koei Tecmo","Koei Tecmo","02/25/2022","Sealed","109,91","147,54","245,58","245,58","109,9",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Demon Gaze II","NIS America, Inc.","Experience Inc.","04/14/2023","Sealed","346,1","365,88","391,59","391,59","210",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Digimon World: Next Order","Bandai Namco Entertainment","B.B. Studio","11/16/2021","CIB","77,18","95,08","123,61","95,08","174",10,10,10,Yes,100%,""
"PS Vita","VideoGame",1,0,0,"Disgaea 3: Absence of Detention","Nippon Ichi Software Inc.","NIS","08/22/2022","Sealed","145,76","151,69","203,8","203,8","135",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Dragon's Crown","Atlus Co., Ltd.","Vanillaware","02/22/2022","CIB","106,4","141,8","252,16","141,8","130",9,9,9,Yes,34%,""
"PS Vita","VideoGame",1,0,0,"Dungeon Hunter: Alliance","null","null","11/16/2021","CIB","66,7","73,77","122,96","73,77","80",8,8,8,Yes,34%,""
"PS Vita","VideoGame",1,0,0,"Dynasty Warriors: Next","Koei Tecmo","Omega Force","01/26/2022","Sealed","73,42","89,29","191,94","191,94","117",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Earth Defense Force 2: Invaders from Planet Space","XSEED Games","Sandlot","04/25/2023","Sealed","93,89","103,63","140,32","140,32","100",?,10,?,No, 0%,""
"PS Vita","VideoGame",1,0,0,"Exist Archive: The Other Side of The Sky","Aksys Games","Spike Chunsoft Co., Ltd.","02/22/2022","Sealed","88,95","100,17","138,39","138,39","140",?,10,?,No, 0%,""
