Platform,Type,Owned,ForSale,Wishlist,Title,Publisher,Developer,DateAdded,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Beat,PlayedCompletion,Notes
"3DS","VideoGame",1,0,0,"7th Dragon III Code: VFD Launch Edition","null","null","11/16/2021","Sealed","308,53","362,02","471,44","471,44","170",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Animal Crossing: New Leaf","Nintendo","Nintendo EAD","11/16/2021","CIB","67,76","88,8","100,16","88,8","-1.0",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Bravely Default","Square Enix","Silicon Studio","11/16/2021","CIB","174,04","198,59","316,01","198,59","-1.0",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Bravely Second: End Layer","Square Enix","Square Enix","11/16/2021","Sealed","126,35","144,49","164,41","164,41","55",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Donkey Kong Country Returns 3D","Nintendo","Monster Games, Inc.","11/16/2021","CIB","58,4","87,96","132,57","87,96","-1.0",8,8,8,Yes,100%,""
"3DS","VideoGame",1,0,0,"Dragon Ball: Fusions","Bandai Namco Entertainment","Ganbarion","11/16/2021","Sealed","139,68","197,43","210,28","210,28","-1.0",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Dragon Quest VIII: Journey of the Cursed King","Nintendo","Cygames","11/16/2021","Sealed","393,12","536,21","614,63","614,63","90",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Ever Oasis","Nintendo","Grezzo","05/15/2022","Sealed","238,48","336,68","467,61","467,61","260,3",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Fantasy Life","Nintendo","Level-5","11/16/2021","CIB","215,05","293,94","353,75","293,94","-1.0",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Fire Emblem: Awakening","Nintendo","Intelligent Systems Co., Ltd.","11/16/2021","Sealed","187,04","257,28","388,12","388,12","132",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Fossil Fighters: Frontier","Spike Chunsoft","Red Entertainment Corporation","12/30/2021","Sealed","88,75","105,4","150,9","150,9","89",?,?,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Harvest Moon 3D: The Tale of Two Towns","Natsume","Marvelous Interactive","11/16/2021","Sealed","70,09","83,66","124,57","124,57","95",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Hometown Story","Natsume","Natsume","11/16/2021","CIB","31,52","50,83","61,58","50,83","-1.0",10,10,10,Yes,89%,""
"3DS","VideoGame",1,0,0,"Kid Icarus: Uprising","Nintendo","Project Sora","11/16/2021","Sealed","303,95","490,66","549,44","549,44","200",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Kingdom Hearts 3D: Dream Drop Distance","Square Enix","Square Enix","11/16/2021","Sealed","84,31","116,86","233,62","233,62","180",?,10,?,No, 0%,""
"3DS","VideoGame",1,0,0,"Luigi's Mansion: Dark Moon","Nintendo","Next Level Games","11/16/2021","CIB","65,47","90,16","121,39","90,16","100",8,8,8,No, 0%,""
"3DS","VideoGame",1,0,0,"Mario & Luigi: Dream Team","Nintendo","AlphaDream","03/25/2022","Sealed","84,5","108,86","176,06","176,06","150",?,10,?,No, 0%,""
